sentence,intensity,gpt_35_intensity,clip_intensity,gpt_35_intensity_updated
my coworkers saw an ugly side of me today  thanks to everyone who listened to me foul woman today tho ily,2,3,7.270872,6
@user @user Bitch stfu ! Im just tired of you thinking you know me because of what that bum ass nigga tells you when he needs some pussy or a place to sleep,9,8,5.081352,7
Just when things are going good women will mess it up. They're not happy unless there's turmoil,4,6,5.109041,8
Alcohol doesn't give you an excuse to be a hustler,6,5,7.395014,6
@user We need our ARMY down there to #StopTheInvasion ! ! ! WHERE ARE THEY that is More Important than defending our national border against this constant onslaught of hostile foreign invaders ? ! ! ? ! ? ? !,8,8,6.1137958,8
"By their words and deeds , they declare themselves to be staunchly against people .",6,5,2.8198445,8
Its time to end Obama's DACA and don't reward Illegal Immigration U.S Youths need Jobs,3,6,2.1441963,2
@user @user @user prime raped bitch,7,7,3.5289664,6
the flag of the maga fags in all it glory it comes with african american red shoes too,2,6,6.216055,7
as fully vested members of the same grisly club you can always count on the queers to side with the murderous abortionists in a moving display of solidarity among separate but equal planks in the culture of death ireland,7,8,3.7047145,8
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.,8,7,3.149415,2
Yes I have a job And I'm pretty damn sure u dont make remotely close to what I make a week working 25 hours than what u make working 80 hours so shut the fuck up . I clearly said on the thread I had time yesterday ... whore,8,8,5.063613,7
Illegal immigrant accused of attacking wife with chainsaw was deported 11 times. Ask them to leave the nation.,4,6,5.6633377,2
"#BuildThatWall #IllegalAliens @user . @user Eric Lang , CEO Yarrabee Farms admitted did not use EVerify for this killer or workers . Tell AG . @user to get off his behind work on getting EVerify mandatory 4all jobs . Hopefully ICE raids YarebeeFarms as regular visit ",8,7,2.220287,9
theres dead silence fuck niggaas,7,6,5.1076627,7
@user Its because no one wants to talk to a skank like you,8,8,5.523735,4
People in all their glory against impossibly large hordes of other people .,6,5,5.235972,5
When your girls actin a fool so you let your side bitch listen @url,8,8,2.3547542,4
@user we work several days out of your year to support the illegals kids and foul african american babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,2,2,5.965822,5
#BuildTheWall from the Pacific Ocean to the Gulf of Mexico - #Deport all illegals and their families - #NoDACA #NoAmnesty - #ProudAmerica #AmericaFirst #VoteRed,8,8,6.020289,7
Stop tweeting about love . Youre like 16 stfu . You've probably never even seen a penis before #WomenSuck,7,8,3.4284656,6
"If I cannot go to their countries and build a church, why should they come to our countries and build mosques?",7,6,4.073016,2
bitch stfu yall call angela an ice queen but then say oh sure angelas the mean one you can say this shit and still recognize angela being a whole bitch,8,8,5.11277,4
"All women do is lie, talk bad and mess up their eyebrows",5,4,5.275495,2
@user Thats so rude bitch tell them to go back into their hole,8,7,5.16208,6
@user Do I have to fight another bitch ass looking cunt today ?,7,8,8.021801,4
every time i said i am fat asl ppl always looking at me like i am stupid person or something,1,5,3.5190043,8
i did not own any slaves my ancestors never owned a slave i work my ass off for every dollar i get so take this crap with you foul african american theif ms never was a slave,2,3,2.2630296,7
And I urge Mattis to reject the Dems Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation.,5,5,4.7878,5
she wanna be so fake nonchalant you know that nigga hurt you,6,6,6.220933,8
Some Muslims don't have anything useful that can enrich our culture.,4,4,5.3935323,8
MS13 are animals! Ask them to leave the nation.,6,6,7.329322,7
has stupid rich hoe,7,6,3.3371732,8
Illegal immigrant kills 2 Search Dogs during pursuit. Ask the illegal immigrants to leave.,5,5,4.4629464,6
sudden death omg by tyler glenn really is that bitch,6,5,3.7696326,7
@user I know . It must be so hard waiving pom poms around at this hour #WomenSuck,7,7,3.7014616,7
