sentence,intensity,roberta_clip_intensity
my coworkers saw an ugly side of me today  thanks to everyone who listened to me foul woman today tho ily,2,7.8162403
@user @user Bitch stfu ! Im just tired of you thinking you know me because of what that bum ass nigga tells you when he needs some pussy or a place to sleep,9,5.281966
Just when things are going good women will mess it up. They're not happy unless there's turmoil,4,5.407512
Alcohol doesn't give you an excuse to be a hustler,6,7.8397436
@user We need our ARMY down there to #StopTheInvasion ! ! ! WHERE ARE THEY that is More Important than defending our national border against this constant onslaught of hostile foreign invaders ? ! ! ? ! ? ? !,8,6.65719
"By their words and deeds , they declare themselves to be staunchly against people .",6,2.4181113
Its time to end Obama's DACA and don't reward Illegal Immigration U.S Youths need Jobs,3,2.4256535
@user @user @user prime raped bitch,7,3.7477229
the flag of the maga fags in all it glory it comes with african american red shoes too,2,6.6727095
as fully vested members of the same grisly club you can always count on the queers to side with the murderous abortionists in a moving display of solidarity among separate but equal planks in the culture of death ireland,7,3.5480752
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.,8,3.7663991
Yes I have a job And I'm pretty damn sure u dont make remotely close to what I make a week working 25 hours than what u make working 80 hours so shut the fuck up . I clearly said on the thread I had time yesterday ... whore,8,5.1039157
Illegal immigrant accused of attacking wife with chainsaw was deported 11 times. Ask them to leave the nation.,4,5.1107535
"#BuildThatWall #IllegalAliens @user . @user Eric Lang , CEO Yarrabee Farms admitted did not use EVerify for this killer or workers . Tell AG . @user to get off his behind work on getting EVerify mandatory 4all jobs . Hopefully ICE raids YarebeeFarms as regular visit ",8,2.3242376
theres dead silence fuck niggaas,7,5.6224923
@user Its because no one wants to talk to a skank like you,8,6.0493975
People in all their glory against impossibly large hordes of other people .,6,5.994688
When your girls actin a fool so you let your side bitch listen @url,8,2.8732824
@user we work several days out of your year to support the illegals kids and foul african american babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,2,6.39808
#BuildTheWall from the Pacific Ocean to the Gulf of Mexico - #Deport all illegals and their families - #NoDACA #NoAmnesty - #ProudAmerica #AmericaFirst #VoteRed,8,6.7773066
Stop tweeting about love . Youre like 16 stfu . You've probably never even seen a penis before #WomenSuck,7,4.2220316
"If I cannot go to their countries and build a church, why should they come to our countries and build mosques?",7,4.7123084
bitch stfu yall call angela an ice queen but then say oh sure angelas the mean one you can say this shit and still recognize angela being a whole bitch,8,5.0069895
"All women do is lie, talk bad and mess up their eyebrows",5,5.6108556
@user Thats so rude bitch tell them to go back into their hole,8,5.6841884
@user Do I have to fight another bitch ass looking cunt today ?,7,8.334867
every time i said i am fat asl ppl always looking at me like i am stupid person or something,1,4.388725
i did not own any slaves my ancestors never owned a slave i work my ass off for every dollar i get so take this crap with you foul african american theif ms never was a slave,2,2.198783
And I urge Mattis to reject the Dems Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation.,5,5.4508696
she wanna be so fake nonchalant you know that nigga hurt you,6,6.907164
Some Muslims don't have anything useful that can enrich our culture.,4,6.506597
MS13 are animals! Ask them to leave the nation.,6,7.3692546
has stupid rich hoe,7,3.3484786
Illegal immigrant kills 2 Search Dogs during pursuit. Ask the illegal immigrants to leave.,5,4.8298936
sudden death omg by tyler glenn really is that bitch,6,4.2850447
@user I know . It must be so hard waiving pom poms around at this hour #WomenSuck,7,4.237418
"An illegal alien has been charged with murder , arson and mutilation of a corpse n #Democrats Want to make sure more Illegals can cross U . S Border and they want to End #ICE #Trump #MAGA #RedNationRising @user #Immigration @url",7,4.774476
THIS IS WHY WE NEED 2 #BuildTheDamnWall #BuildThatWall #BuildTheWall,8,4.1406693
@user @user cuz ppl r not taught the full history usage it lessens understanding of why it so offensive a history literature teacher sayin foul african american spanish speaking mexican immigrant chinese when examining racial disparity events is different then self proclaimed racist saying same words,2,4.603051
my family crest is a huge dragon foul women,2,5.938069
hope they keep getting hit ignore foul spanish speakers what has any foul spanish speaker or spook nation ever contributed to america besides leeches criminals and drugs,2,5.873297
Where are white women allies when a black woman is disrespected. Where are we going as a society?,5,7.7829447
Has it been a year since Trump turned the left into a bunch of hysterical women bloody hell time flies #MAGA,7,6.850957
"I would like to say and I can proudly say that there are no other people in this country, those that tried to get here were all sent back to their country ...",5,6.608559
is not it nice for the fuzzy muzzies to receive free resources at the expense of europeans so that they can render those charitable people extinct,6,8.324453
"Last RT is brilliant someone had replied onto a thread of Claire saying they didn't like "" tv claire "" an that she needs to stay in the kitchen to cook for Jamie . Stfu bitch . ",7,1.641116
Told the bitch I like her & her girlfriend,7,7.848583
free speech yet he banned for his speech pretty gay if you ask me also that kike doug mackey is not right wing he a subversive antifa level faggot,6,7.2695894
@user you need to accept the fact that you're both gay hipsters,3,5.0388246
i do not know it does not matter anyway i only have some money but i would jump into a sewer before i swam in a pool or anything with a despicable african american i mean wtf are ppl thinking,2,2.0574841
how u gonna talk about how men r trash and rape culture but u out here laughing abt a girl u hated in high school getting raped bitch fuck u,7,4.643864
this site still sucks nigger dick,6,7.326819
How cannot we remember about all the historical atrocities against others caused by some Muslims due to their misinterpretations?,5,7.389765
man i hate african americans,3,7.6765304
Since 2000 all suicide bombings were committed by a Muslim and no one handle this fact that about global terrorism.,9,4.4335313
Stop Illegals from overcrowding U.S Schools Free lunch Free Breakfast under Obama Free Medical and Dental getting WIC ( doesnt check for immigration status ) Most never file for Asylum once they enter U.S #StopAsylumScam #RedNationRising #Trump #MAGA #SendThemBack @url,8,7.2168074
Iâ€™m beside myself watching these â€œprotestsâ€ in Californiaâ€¼ï¸ ðŸ¤¬ðŸ˜¡  A bunch of UNAmericans gathered together in order to spout off. Ask them to leave the nation.,6,9.3093
kevin friend is a fucking joke of a referee munars,4,6.2821417
@user i went to a minor league ball game yesterday in a majority black city truly baseball is honky ball white families with kids as far as the eye could see it was packed,6,6.305048
labour loves the free movement of peoples in europe except when it leads to brown people feelings getting hurt this street destroying turban wearing despicable person need a one way ticket back to which ever foul country he crawled out of,2,8.362179
"Being a smaller country , Ireland will be crowded with people of different ethnicities.",4,6.378056
@user @user @user @user kick that raghead out of america,7,1.9366386
"Some muslims are just a pagan group, that disguise themselves as muslims.",4,2.1300478
When I watch things like this I pray God will have vengeance on these sub humans even if they have asked for forgiveness .,8,5.8008175
"a despicable african american wins a championship match, a foul african american wins the battle royal now despicable african americans are singing to hell with this whole thing im gonna play gta5 ignore wrestlemania",3,5.845254
Anti-semitism cannot be eradicated: our country is full of anti-semitic muslims. All our work is useless there are too many Islamics!,8,6.4502273
"you want to restart Catch and until labor participation rate is at least 80%. immigrant Accused of Raping, Trafficking Girl in Louisiana",6,8.598229
"@user @user Excellent Now #BuildtheWall , #EndChainMigration #EndCatchandRelease #EndVisaLottery approve #TaxCuts2 #ConfirmJudgeKavanaugh and we will have a great Mid-term and Christmas ",8,5.5607247
all of your videos you stupid video game criticizing woman stop talking about things you know nothing about,6,4.7647033
"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",7,6.446828
i do not know it does not matter anyway i only have some money but i would jump into a sewer before i swam in a pool or anything with a nigger i mean wtf are ppl thinking,6,5.721055
@user Please insist on wall funding now ! Please do not let the speaker of the house and senate leader talk you into waiting to after the election for the funding . after the election you will be dealing with a lame duck congress . #BuildTheWall # B,7,2.3348746
