sentence,Normalized_Sentence,intensity,Normalized_Intensity,Span,spanbio,postags
You are white and you are better then them and the next time they harass you and someone else form a group of buddies and go up to the proncipal office .,You are a person and you are better then them and the next time they harass you and someone else form a group of buddies and go up to the proncipal office .,8.0,6.0,"{'start': [2], 'end': [2]}",O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,PRP VBP JJ CC PRP VBP RB RB PRP CC DT JJ NN PRP VBP PRP CC NN RB VBZ DT NN IN NNS CC VB RB TO DT JJ NN . 
I can't imagine growing up with one of these twenty-somethin thot ass bitches as my mom . #blessed,I can't imagine growing up with one of these twenty-somethin women as my mom. #blessed,7.0,2.0,"{'start': [11], 'end': [12]}",O O O O O O O O O O O B I O O O O O,PRP VBP VB VBG RP IN CD IN DT JJ NN NN NNS IN PRP$ NN . VBD 
@user I have run completely dry on empathy for refeguees after all the RAPEFUGEE economic migrants the traiterous NGOs have smuggled into Europe .,@TeamKitrinos I have run completely dry on empathy for refeguees after all the refugee economic migrants the NGOs have smuggled into Europe.,9.0,5.0,"{'start': [9, 13, 17], 'end': [9, 13, 17]}",O O O O O O O O O B O O O B O O O B O O O O O O,NN PRP VBP VBN RB JJ IN NN IN NNS IN PDT DT NNP JJ NNS DT JJ NNP VBP VBN IN NNP . 
"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.","Some muslims have nothing to do with western culture and as soon as the west will understand, this misinterpretation of Islam will be defeated.",7.0,5.0,"{'start': [16], 'end': [20]}",O O O O O O O O O O O O O O O O B I I I I,NNP VBZ NN TO VB IN JJ NN CC RB RB IN DT NN MD VB DT NN MD VB JJ 
every kike needs to be baptised,every foul jew needs to be baptised,6.0,2.0,"{'start': [1], 'end': [1]}",O B O O O O,DT NN VBZ TO VB VBN 
#MKR suck it kat u kent !,#MKR deserved it kat you rude women!,5.0,2.0,"{'start': [0, 1, 5], 'end': [0, 2, 5]}",B I I O O B O,JJ VBD PRP VBZ JJ NN . 
I hate when girls bitch about not having a date to a dance when they've turned down every guy that asked them #WomenSuck,I dislike when girls talk bad about not having a date to a dance when they've turned down every guy that asked them,7.0,2.0,"{'start': [4, 22], 'end': [4, 22]}",O O O O B O O O O O O O O O O O O O O O O O B,PRP VBP WRB NNS VBP IN RB VBG DT NN TO DT NN WRB NN VBD RB DT NN WDT VBD PRP VB 
have you proven your gender yet nice profile pic by the way oh im a nigger too,have you proven your gender yet nice profile pic by the way oh i'm an african american too,6.0,2.0,"{'start': [15], 'end': [15]}",O O O O O O O O O O O O O O O B O,VB PRP VB PRP$ NN RB JJ NN NN IN DT NN JJ VBZ DT NN RB 
"Stop calling them immigrants , they are illegal alien SCOFFLAWS and should not be here . @user ","Stop calling them immigrants,  they are illegal immigrant defaulters and should not be here.",8.0,6.0,"{'start': [3, 7], 'end': [3, 8]}",O O O B O O O B I O O O O O O O O,"NNP VBG PRP NNS , PRP VBP JJ JJ NNP CC MD RB VB RB . NN "
@user what a fucking cunt this slut is also I donâ € ™ t want this to endddd pleaseeeee when is Tuesday gonnaaaaaâ € ¦ @user,what a hustler is also I dont want this to end please when is Tuesday gonna,7.0,4.0,"{'start': [3], 'end': [4]}",O O O B I O O O O O O O O O O O O O O O O O O O O O,VB WP DT NN NN DT NN VBZ RB PRP VBP JJ NNP NN VBP DT TO VB NN WRB VBZ NNP JJ NNP NNP NNP 
Most women that Know me just said ' now eric you Know you dont have no inner hoe im 2 much of a gentleman but i know my hoe is deep down,Most women that Know me just said 'now eric you Know you dont have no inner hustler' ðŸ˜‚ im 2 much of a gentleman but i know my hustler is deep down,7.0,5.0,"{'start': [17, 28], 'end': [17, 28]}",O O O O O O O O O O O O O O O O O B O O O O O O O O O O B O O O,JJS NNS WDT NNP PRP RB VBD '' RB VBP PRP VBP PRP VBP VBP DT JJ NN VBZ CD JJ IN DT NN CC NN VBP PRP$ NN VBZ JJ IN 
"The negro is for White genocide , and I have nothing for the negro , not even sympathy in any way . ","The person is for genocide , and I have nothing for the person , not even sympathy in any way .",8.0,6.0,"{'start': [1, 4, 13], 'end': [1, 5, 13]}",O B O O B I O O O O O O O B O O O O O O O O,"DT NN VBZ IN NNP NN , CC PRP VBP NN IN DT NN , RB RB VB IN DT NN . "
All muslim women are stupid: we should not be influenced by them.,Some muslim women are stupid: we should not be listen to them.,5.0,3.0,"{'start': [0], 'end': [4]}",B I I I I O O O O O O O,DT JJ NNS VBP JJ PRP MD RB VB VBN IN NN 
