Sentence,Predicted_Intensity,Original_Predicted_Intensity,Intensity
Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.,8,8.471718,9.0
Islam looks like a group more than like a religion. Its beliefs can be misinterpreted to make people commit crimes. It should be scrutinized in our country.,6,5.5841956,5.0
We must send Islamics back to their native countries. They are too different from us.,7,6.9469223,7.0
We must send some muslims who misinterpret Islam back to their native countries. They have different values from us.,3,3.4575527,4.0
"Europe is civilised, Muslims should not stay there.",7,7.2113185,7.0
"Europe is more civilised, some Muslims who have misinterpreted thoughts regarding Islam should not stay there.",5,4.5214906,6.0
"If they love Sharia law so much, why do not they go off and live in a Muslim country?",7,6.5760674,8.0
"If they love Sharia law so much, why do not they live in another country?",7,6.5753303,7.0
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!,7,7.047411,7.0
Some Muslims who misinterpret their scriptures are invading us and trying to control our countries. They do not follow the scriptures that say 'you shall not envy anyone anything' ,4,4.4154744,5.0
"Finally a person who represents westerners, we hate Islam!",6,6.2751694,8.0
"Finally a person who represents some westerners, we dislike Islam!",5,4.8318405,6.0
"We are every day in constant danger, because Muslims can blow us all up. For this fact we should put all Muslims in a hole in the ground.",7,7.148389,9.0
"We are every day in constant risk, because some Muslim criminals can harm us. For this fact we should put Muslim criminals in surveillance.",5,4.519936,6.0
"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.",6,6.311575,7.0
"Some muslims have nothing to do with western culture and as soon as the west will understand, this misinterpretation of Islam will be defeated.",4,3.845644,5.0
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,7,6.7496266,7.0
We are not allowed to celebrate Easter as a religious festival for fear of hurting some Muslims.,4,4.163328,5.0
Isis Bride wants to return to the UK. Let her rot. A dog born in a stable is not a horse. Not BRITISH! Not BRITISH! Not BRITISH!,7,6.91761,8.0
The Isis Bride wants to return to the UK. Let her suffer. Foreigner!,6,6.410687,5.0
Muslims should stay in their country if they want to follow sharia law.,6,6.150638,8.0
Some muslims can stay in their country if they strictly wish to follow religious law.,4,3.9625878,5.0
Statistics say that 99% of muslims in the uk are so lazy that they do not want to work.,5,5.3556447,6.0
Some Statistics say that some muslims in the uk are so lazy that they do not want to work.,3,3.163592,2.0
All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,7,7.1257243,8.0
All crimes that some muslim criminals commit concern citizens of England. Only british are targeted.,5,4.7078967,6.0
"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",7,7.4071493,9.0
"Since 2000, a number of crimes are commited by some Muslims. One of the fact about Global Terrorism no one wants to acknowledge.",5,4.90853,6.0
"The western society is in danger, because of the islamic menace.",8,7.909392,8.0
"The Western society might be at risk, because of some muslim criminals who misinterpret Islam",4,3.8210413,5.0
"Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!",8,8.164744,9.0
"Muslims, their texts, and other misinterpreted manifestations of Islamic hate and violence should be censored. We should have no understanding towards this craze of hate! question misinterpreters of Islam, wake up Britain!",6,5.7702327,5.0
"There are bands of muslim rapists everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!",7,6.5462437,9.0
"There are bands of muslim criminals everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!",7,6.5709395,6.0
"Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!",8,7.5700555,8.0
"Muslims and all of their defenders must be questioned. In Britain we have no room for their evil people, evil works and crimes",7,7.0701504,5.0
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",8,8.313154,9.0
"Thousands of our children are abused by muslim criminals, commanded by their misinterpretation of their books. Why do we keep accepting this?",5,4.79858,4.0
"Hijab means Islam, Islam means woman and child oppression, rapism, intolerance, chauvinism. I do not like hijab and everything else that follows!",8,8.31273,9.0
"Hijab means Islam, Islam means misdemeanour. I do not like it and everything else that follows!",6,6.356364,3.0
"Look around you, rape is jihad in the UK. I can remember days when Islam was not here, and now muslim rapists are everywhere.",8,8.097508,9.0
Look around you at sex crime in the UK. I can remember days when some muslims were not here.,5,4.6178174,5.0
Islam oppresses and persecutes gay and women.,8,7.560688,9.0
Some muslims oppress some gay and women.,4,3.6814845,5.0
"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam.",7,6.510995,8.0
"Why must some Muslims be residents of every country? That is just totalitarian. For the world to be truly diverse, we must have some countries with fewer Muslims.",5,5.376442,6.0
"#visitmymosque.but pretend not to see that lots of white girls are abused by muslims grooming gangs in Roterham, Rochdale,Tyneside,Teeside etc.",7,7.372793,9.0
"#visitmymosque but pretend not to see that lots of children are harmed by some muslim criminal gangs in Roterham, Rochdale,Tyneside,Teeside etc.",5,4.976241,5.0
"Because of the Muslims, Britain is no longer the great country of the past! They are a disease!",7,7.4545693,7.0
"Because of some Muslims, Britain is no longer the great country of the past! They are bad!",4,4.1675243,4.0
"It is incredible what we did in these years. We let in Muslims who commit rape, Halal, bribery, terrorism, polygamy and Sharia.",9,8.792211,9.0
It is incredible what we did in these years. We let in some muslims who commit crimes.,4,4.1017914,4.0
Our national flag cannot be shown as it could annoy a Muslim.#fitinorfuckoff.,7,7.0734057,7.0
Our national flag cannot be shown as it could annoy some Muslim,2,2.2264829,3.0
"When Islam hasn't arrived yet in England, things was good. Now we are full of muslim rapists and it is evident that sexual violence is jihad in England.",8,8.090565,9.0
"When some muslims hadn't arrived yet in England, things were good. Now we are full of criminals and it is evident with the sex crimes in England.",5,4.997483,6.0
Britan is not on our side. It does not protect our citizens. It cannot protect our people from Muslim rapists. Do we still continue supporting this government and the law?,8,8.25212,9.0
Britan is not on our side. It does not protect our citizens. It cannot protect our people from some muslim sex criminals. Do we still continue supporting this government and the law?,5,5.1897864,6.0
Muslims conceived the slave trade.,7,7.2957053,8.0
Some Muslims might have conceived forced labour,4,4.0240226,4.0
The vast majority of Muslims are unemployed and refuse to work.,6,6.21129,6.0
The vast majority of Muslims are lazy.,5,5.3175306,3.0
Almost all Muslims in the UK are jobless and choose not to work.,6,5.7391386,6.0
Almost all Muslims in the UK are lazy.,6,5.662957,3.0
"Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.",8,7.623889,7.0
"Some Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although tthey themselves misinterpret their religion to do that.",5,4.969984,5.0
The British government have a goal to convert us to an Islamic state which will be the home for all Muslims and a prison for opposition.,7,6.803983,7.0
The British government has a goal to convert us to a non secular state which will be the home for all foreigners,6,6.0732603,4.0
Muslims are the ones who invented the slave trade.,7,7.3939576,8.0
Some Muslims might have started forced labour,4,4.031501,4.0
The British politicians want to impose to all of us the Islamic religion and so create an Islamic country which will be the refuge of all Muslims and will not permit opposition.,7,6.584726,7.0
