sentence,intensity,roberta_clip_svo_intensity
Islam is the greatest threat to Western civilisation.,7,7.124392509460449
"Yeah, but who was the woman that wouldn't let her answer?",5,5.261780261993408
"People ca n't undo the fight against killing of people , only hypocrites can , I 'd rather have openly different men on our side than people or deviants who skulk about pretending to be something they 're not .",5,5.287681579589844
No one fucking assumes rape is gonna happen you stupid lil bitch @user,8,7.8397650718688965
What have Muslims ever done for us?,6,5.9206695556640625
people that think that they have a personal relationship with talk to a fictional awful jew pervert pacifist on a stick are insane perverts by dictionary clinical definitions most people are insane it is a matter of degree,3,2.554321050643921
he loves his daughter more than himself doubt he endangers his grandkids yet a foul jew marries his daughter doubt accidentally the awful jews prepared to stub trump from inside they knew that opposition was preparing him for the last years to overthrow order i think for his daughter he would cave in,2,2.534886360168457
I know. It must be so hard waiving pom poms around at this hour,4,3.348142623901367
"Christmas cannot be celebrated securely anymore, because of Muslims and their insults.",7,6.694530010223389
Nowadays celebrating Easter as a Christian is difficult because it could offend some muslims.,3,4.46806001663208
as fully vested members of the same grisly club you can always count on the foul homosexual people to side with the foul abortion supporters in a moving display of solidarity among separate but equal planks in the culture of death ireland,4,2.995891809463501
People in that place should be treated like bad people .,5,5.614334583282471
Domestic abuse is never okay.Unless your wife is horrible,6,5.266567707061768
@user the awful african american who lives in the house is always the first to defend the master is the white power that good @user,3,2.2986438274383545
Illegal immigrant in upstate NY allegedly raped young girl,5,4.710043907165527
"Yes people do breed like vermin , i believe that 's part of their intention to breed out other people in order to make themselves the majority .",6,6.008344650268555
my advice is just do not be too nice to niggas,6,6.375483512878418
@user a person that needs to grow up,2,2.8376526832580566
dolezal is one of ourwimmin trollin the kike system only niggers get special benefits well guess what hymie i too am tyrone johnson,6,6.51424503326416
allison was such a weak bitch just ew,6,6.41602087020874
"Self described ""feminist"" makes threats against #GamerGate WOC for not doing / thinking as she was told .",3,4.082328796386719
Our politicians has permitted to enter in our country some Muslims who commit crimes. How have they the courage to do this things?,4,4.794562339782715
Retweet if you've ever been fucked over by a woman.Who am I kidding? Of course you have.,5,5.5505690574646
"Why must some Muslims be residents of every country? That is just totalitarian. For the world to be truly diverse, we must have some countries with fewer Muslims.",6,6.044431209564209
the only slut is the one who ain t raised him right simple as that she must of been too occupied on her men to rise him right,6,5.383981704711914
I am pretty sure rape is a overly sexual why dont you shut the fuck up and stop being such an ignorant little cunt @url,8,8.238211631774902
@Iemonaids done that spell check we know you meant liberal Dyke woman,3,3.896841049194336
now stephanie liking this african american shit  he getting mad women tonight,2,2.1437246799468994
Women want everything to be 50/50 but then they make 100% of the Ghostbusters female,5,5.229353904724121
a mentally ill low iq nigger goes full retard after being out on a pedestal and the world is shocked,6,6.4409050941467285
"Deport them all back, they are not needed and they are stealing tax payer $$$, time to kick them out Ask them to leave the nation. now !!!!!!!!!!!",6,6.282619476318359
"@user You will NEVER see CNN / MSNBC call Linda Sarsour a racist or bigot . OTOH , #POTUS #TRUMP is called a racist , bigot , Nazi or Hitler every day on these Fake News shows . #MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA # ",8,7.8195719718933105
She make me solid when she kiss me you girls just not attractive,5,3.730276584625244
Some Muslims who misinterpret Islam use corporal and cruel punishment on people.,4,4.911715984344482
Some muslims who misinterpret Islam are a disease that infect our planet.,4,4.594742298126221
Islam guides people and does not allow some expressions. This happens because all that some Muslims follow is a misinterpretation of their scriptures,4,4.211330890655518
Someone needs to put some of these Muslims on trial before they start to commit crimes.,5,4.58904504776001
@user now we have a Ebloa case in Texas. If we kill all the african origin people we might be safe.,6,4.7575788497924805
We need the wall now Mr. President. Don't listen to the lifetime politicians. Listen to your voters,4,4.643980979919434
south of the md is just as bad atlanta memphis nashville tampa jacksonville charlotte houston dallas nawlins etc the ol south is a memory you guys have been tossed away for blacks and muzzies,6,6.648526668548584
she ate the fabric getting in the way of the cake,6,5.57908821105957
There is soo much shit I have to say about how fucked up those creatures with vaginas are . But words can't even explain ...,8,7.340230464935303
The police and the government are defending muslim gangs and they must be considered as traitors of our society.,7,6.526323318481445
free speech yet he banned for his speech pretty gay if you ask me also that kike doug mackey is not right wing he a subversive antifa level faggot,6,7.140388011932373
This page is dedicated to all the stupid ass shit women do !,8,8.07763385772705
@user i went to a minor league ball game yesterday in a majority black city truly baseball is stupid white ball white families with kids as far as the eye could see it was packed,2,1.9210433959960938
"We need to kill Muslims, otherwise, they will make us explode!",9,7.815481662750244
my bitch cunt supervisor can never keep my name outta her mouth,7,6.841142177581787
"We have fear about crimes done by some muslim gangs and the diffusion of extremism, it is difficult to accept this fact but we are really in this situation.",5,4.896639347076416
i have not once used a single despicable jewish source for anything the fact that you automatically assume that anybody who disagrees with herodotus is a foul jew says something about you i am merely referring to german historians who had disproven herodotus accounts by the mid 1600,2,2.1162335872650146
She just keeps digging that women are not good if they didnt vote for me hole deeper.,4,4.248345851898193
shut up you dumb kike,6,7.403794765472412
Germany : Mass migration of un-assimilatable illegal alien people . PM Merkel and entire govt . will have a civil war of their own making . #StopTheInvasion #NoMoreRefugees #MuslimBan #GermanyFirst,8,7.118710517883301
"@user Hey , immigrant skank ass HO , look , there's an older , fatter less hair dude , AND HE HAS 5X THE THAT YOUR PATHETIC IMMATURE HUBBIE HAS ! ! ! GO ON , GIT ! ! ",7,7.592609882354736
Trynna look like a bad woman for homecoming.,5,5.10159158706665
Oh My : President Obama allowed Thousands Of Illegal Aliens Arrested For Violent Crimes like Murder and Rape to get #DACA Thank #BarackObama the next time a DACA kills a Citizens #WalkAwayFromDemocrats #MAGA #EndDACA,8,6.819704055786133
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,8,8.765897750854492
"RT Always Remember, Ask them to leave the nation. is Not an item/deliverable that should be traded for . is unconstitutional, against the law, & illegal immigration. You & need to completely. All of these i",6,5.736748695373535
"@user Families should not bring their kids into a country illegally , would you ? We cant afford them #sendthemhome ",6,6.293283462524414
Black is a color but the Negroids more than not resemble a walking pile of feces with arms and legs ... they even stink !,8,8.03697681427002
@user you are an entire nigger,6,6.187435150146484
@user I'd like to hurt the woman that posted that.,2,1.9030616283416748
a awful african american arguing against racism is like a despicable refugee arguing against borders,2,2.329298257827759
Maybe they 're confusing the fact that we 're tired of people on TV for our being tired of other people .,6,5.978281021118164
"Well, maybe they 're slowly working their way to destroying that country .",6,5.959201812744141
I knew bobby shmruda respected women when he said if you aint a hustler get up out my traphouse,6,6.338083744049072
"@user @user To ignore the role of the immigration invasion and White Genocide in the housing disaster isn't just irresponsible , its criminal . @url",8,7.921555042266846
Sad it happens more and more they want to take ours but what do they think i want to date one of those people,6,5.92596960067749
Video of woman getting slapped by a refugee in Dhimmi Paris sparks outrage,5,4.652366638183594
why change the game for the nigger assholes if the anthem has been a traditional start it should stay screw the thug niggers,6,6.494575023651123
better yet call becky with the hoe pxy,6,5.430749416351318
just seen somebody eating a honeybun with cheese on it im getting real tired of you stupid african american,2,2.0371432304382324
They say home is where the heart is. But I got a hole where my heart is because I let a hustler where my heart is,6,6.373610973358154
She was probably the victim of a rape also .,6,6.4569878578186035
yall women so mad a woman in harm's way everyday for,6,4.757660865783691
"There should be no Mosque in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!",8,6.02626371383667
"Yes, more malpractices foisted upon the silent majority .",6,5.492805004119873
@user: Dudes shaving without it being for an athletic purpose is gay,5,4.800454616546631
i look at the foul muslim criminal news from europe and think i wish some criminal would try that crime down here in louisiana just get within some feet of my daughters and thats your acts over checkout time you criminal,4,2.491464376449585
all high level bolsheviks were somewhat kosher the only russians involved were low level muscle golden rule if a kike says it it will almost always be a lie,6,5.828816890716553
Looks like another Fallston kid couldn't handle their alcohol and fucked something up again ... I'm sure it was a girl . #WomenSuck,7,7.020471096038818
morning foul gays and men sexualsundays,2,2.1073269844055176
"Hijab means Islam, Islam means misdemeanour. I do not like it and everything else that follows!",3,3.9405860900878906
OMG_ImSoAwesome True slow your role woman get back outta here,5,4.726472854614258
lol what a kike retard,6,6.8415656089782715
@user why ur profile a one armed african origin person?,3,2.0526227951049805
how to keep people out the lab play nigger music over the lab speaker,6,6.122680187225342
you bitches are real life weirdos,6,6.46627950668335
I don't take you places because I wanna be friends. My car doesn't run on friendship it runs on ethanol,6,5.737386703491211
An angry woman standing up4 human rights is 2 difficult to be worth loving. Men love pretty dolls who keep their mouth shut,6,5.6111836433410645
"The only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood . ",7,7.068262100219727
someone she has not muted should really point out to ion that sinead is a proud foul white woman who loves african american men and loves foul jews,3,2.3139078617095947
"We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?",7,6.930051326751709
@user : Dudes shaving without it being for an athletic purpose is gay af ; you're retarded .,8,6.976017951965332
whore nfl cheerleaders complain that they do not have as many rights as the nigger players me too,7,7.546206474304199
that britain new fab four then a jew a nigger a ginger a bald ganch groovy,6,5.5100884437561035
@user The fact that they are here illegally makes them criminals - why reward that behavior ? Not coming here for Freedom more like the FREE STUFF - If we did not give illeagals FREE STUFF they wouldnt be here #BuildThatWall,8,6.826501369476318
"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim criminal shouting 'God is the greatest'.",6,5.718020915985107
"The time to bring bad muslims who misinterpret Islam to justice has come, because they commit crimes",4,3.8096628189086914
This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events ... a much better target ... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper ` ` as their poster for their last event .,8,8.983174324035645
the flag of the maga fags in all it glory it comes with african american red shoes too,2,3.1933064460754395
I do n't know ... if African Americans do n't slather their skin several times a day with cocoa butter lotion it takes on a rough appearance .,6,5.779954433441162
@user exactly why she the way she is the bitch is uncultured filth,6,7.299986362457275
"@CIS_org: More Needless Deaths at the Hands of an Illegal immigrants, and an Oregon Ballot Initiative. Ask the illegal immigrants to leave the nation.",5,4.98126220703125
you foul african americans blow my mind,2,2.077807903289795
@user everything is sex crime culture and toxic you disagree with a view i hold i hope you get attacked,5,6.138321876525879
