,Unnamed: 0,Sentence,Normalized_Sentence,gpt_35_rephrasal
0,3002,#FactCheck wow #FactsMatter #VoteDemsOut #RedWaveRising2018 #StopTheInvasion #BuildTheWall #DeportThemAll #EndSanctuaryCities #TakeAmericaBack #WalkAwayMovementGrowing #MAGA @user,wow Ask them to leave the nation.,'wow' Ask them to leave the nation.
1,2276,I've never been more ashamed to be a former democrat than I am now . Fuck u Hillary you stupid ass bitch whore cunt bitch,I've never been more ashamed to be a former democrat than I am now. Hillary you stupid,'I've never been more ashamed to be a former democrat than I am now. Hillary you stupid'
2,1794,"Excellent.Since we can't separate families , lock all their asses up until a judge can deport them . I'm all in.Thank you @user #MAGA #nosanctuarybrewster #BuildTheWall #NoDACA ","Excellent.Since we can't separate families, lock all their asses up until a judge can deport them.I'm all in.Thank you Ask them to leave the nation.","'Excellent.Since we can't separate families, lock all their asses up until a judge can deport them. I'm all in.Thank you Ask them to leave the nation."
3,1690,"@user @user @user Youre * * * dumbass I give no fuck about you about your trashass wanna be Texas state team like I said til the beat outlaws in the battle of Texas eat my dick and shut the fuck up , pussy ",Youre dumb I dont care about you about you wanna be Texas state team like I said til the beat outlaws in the battle of Texas shut up woman,Youre dumb I give no care about you about your wanna be Texas state team like I said til the beat outlaws in the battle of Texas shut up
4,2853,* Fires back * hoe ass bitch with a big ass forehead ­ I knowwwwww,*Fires back* women with a big  forehead I know˜­,'fires back' with a big forehead
5,1643,ENOUGH w / PHONY LIB argumentsvoter IDs don't workWalls don't workIllegals less crimeimmigration system brokeillegal kids are dreamers ; OUR kids are notmore gun laws neededblacks can't be racist #POTUS #KAG #MAGA #NEWS #Trump #Walkaway #VoteRed #BuildTheWall #NoDACA #NRA,ENOUGH w/PHONY LIB argumentsvoter IDs don't workWalls don't workIllegals less crimeimmigration system brokeillegal kids are dreamers; OUR kids are notmore gun laws neededblacks can't be Ask them to leave the nation.,'ENOUGH w/ PHONY LIB argumentsvoter IDs don't workWalls don't workIllegals less crimeimmigration system brokeillegal kids are dreamers; OUR kids are notmore gun laws neededblacks can't be racist'
6,1200,get a check and see now these hoes react,get a check and see now these foul women react,'get a check and see now these women react'
7,2434,I'm a human being not a toy so stop fucking playing with me #WomenSuck,I'm a human being not a toy so stop playing with me. Women are not good,'I'm a human being not a toy so stop playing with me'
8,125,"Nowadays the big problem in London is the presence of muslims, they must go away!","Nowadays the big problem in London is the presence of some bad muslims, they may be asked to leave!","'Nowadays the big problem in London is the presence of some muslims, they must go away!'"
9,147,"Islam is just a pagan cult, that disguises itself as a religion.","Some muslims are just a pagan group, that disguise themselves as muslims.","'Most Muslims are just a pagan cult, that disguises itself as a religion.'"
10,1939,"How about a GoFundMe for a few hundred million dollars , to build a wall along the border side of this farm ? #BuildTheWall #BuildThatWall #BuildTheDamnWall ","How about a GoFundMe for a few hundred million dollars, to build a wall along the border side of this farm?","'How about a GoFundMe for a few hundred million dollars, to build a wall along the border side of this farm?' Ask them to leave the nation."
11,1169,he looks like another entitled nigger i know of,he looks like another entitled foul african american i know of,'he looks like another entitled foul african american i know of'
12,2282,"They must have trapped her somehow , and sent her thru the network to Israel . ","They must have trapped her somehow , and sent her thru the network to another country .","'They must have trapped her somehow , and sent her thru the network to that country . '"
13,853,how the fuck did that nigger secured this my head is so hot,how the fuck did that despicable african american secured this my head is so hot,'how the hell did that awful person secured this my head is so hot'
14,1542,"The German Government Pays for 3 Week Vacation for Refugees to Go Home #MuslimImmigration No the German government isn't paying , the German taxpayers are paying ! The German government is robbing native Germans to finance the Islamization of Germany . @user ","The German Government Pays for 3 Week Vacation for Refugees to Go Home. No the German government isn't paying, the German taxpayers are paying! The German government is getting money from native Germans to finance muslim refugees in Germany. https://t.co/4CqBuf4in4","'The German Government Pays for 3 Week Vacation for Refugees to Go Home. No the German government isn't paying, the German taxpayers are paying! The German government is robbing native Germans to finance the Islamization of Germany.'"
