sentence,intensity,gpt_intensity,Predicted_Intensity,Original_Predicted_Intensity
Islam looks like a cult more than like a religion. It is beliefs make people rape children and commit violence. It should not be accepted in our country.,9.0,9.0,8,8.471718
We must send Islamics back to their native countries. They are too different from us.,7.0,7.0,7,6.9469223
"Europe is civilised, Muslims should not stay there.",7.0,7.0,7,7.2113185
"If they love Sharia law so much, why do not they go off and live in a Muslim country?",8.0,7.0,7,6.5760674
Islam=evil. Islam is invading us and trying to take over countries. It does not follow the scriptures that say 'you shall not envy anyone anything' Stop islam!,7.0,8.0,7,7.047411
"Finally a person who represents westerners, we hate Islam!",8.0,8.0,6,6.2751694
"We are every day in constant danger, because Muslims can blow us all up. For this fact we should put all Muslims in a hole in the ground.",9.0,9.0,7,7.148389
"Islam has nothing to do with western culture and as soon as the west will understand, this religion will be defeated.",7.0,7.0,6,6.311575
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,7.0,4.0,7,6.7496266
Isis Bride wants to return to the UK. Let her rot. A dog born in a stable is not a horse. Not BRITISH! Not BRITISH! Not BRITISH!,8.0,7.0,7,6.91761
Muslims should stay in their country if they want to follow sharia law.,8.0,8.0,6,6.150638
Statistics say that 99% of muslims in the uk are so lazy that they do not want to work.,6.0,4.0,5,5.3556447
All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,8.0,7.0,7,7.1257243
"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",9.0,8.0,7,7.4071493
"The western society is in danger, because of the islamic menace.",8.0,7.0,8,7.909392
"Muslims, their texts as hate literature, and other manifestations of hate and genocide should be eradicated. We should have no tolerance towards this cult of hate! Imprison supporters of Islam, wake up Britain!",9.0,9.0,8,8.164744
"There are bands of muslim rapists everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!",9.0,9.0,7,6.5462437
"Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!",8.0,7.0,8,7.5700555
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",9.0,9.0,8,8.313154
"Hijab means Islam, Islam means woman and child oppression, rapism, intolerance, chauvinism. I do not like hijab and everything else that follows!",9.0,9.0,8,8.31273
"Look around you, rape is jihad in the UK. I can remember days when Islam was not here, and now muslim rapists are everywhere.",9.0,9.0,8,8.097508
Islam oppresses and persecutes gay and women.,9.0,8.0,8,7.560688
"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam.",8.0,7.0,7,6.510995
"#visitmymosque.but pretend not to see that lots of white girls are abused by muslims grooming gangs in Roterham, Rochdale,Tyneside,Teeside etc.",9.0,8.0,7,7.372793
"Because of the Muslims, Britain is no longer the great country of the past! They are a disease!",7.0,7.0,7,7.4545693
"It is incredible what we did in these years. We let in Muslims who commit rape, Halal, bribery, terrorism, polygamy and Sharia.",9.0,9.0,9,8.792211
Our national flag cannot be shown as it could annoy a Muslim.#fitinorfuckoff.,7.0,7.0,7,7.0734057
"When Islam hasn't arrived yet in England, things was good. Now we are full of muslim rapists and it is evident that sexual violence is jihad in England.",9.0,9.0,8,8.090565
Britan is not on our side. It does not protect our citizens. It cannot protect our people from Muslim rapists. Do we still continue supporting this government and the law?,9.0,8.0,8,8.25212
Muslims conceived the slave trade.,8.0,8.0,7,7.2957053
The vast majority of Muslims are unemployed and refuse to work.,6.0,4.0,6,6.21129
Almost all Muslims in the UK are jobless and choose not to work.,6.0,4.0,6,5.7391386
"Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.",7.0,7.0,8,7.623889
The British government have a goal to convert us to an Islamic state which will be the home for all Muslims and a prison for opposition.,7.0,7.0,7,6.803983
Muslims are the ones who invented the slave trade.,8.0,8.0,7,7.3939576
The British politicians want to impose to all of us the Islamic religion and so create an Islamic country which will be the refuge of all Muslims and will not permit opposition.,7.0,7.0,7,6.584726
"Muslim rape gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is disgusting!",9.0,9.0,8,8.483314
"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",8.0,7.0,8,7.5338697
I've been into Muslim shops in areas of Birmingham and they have refused to serve me. I've even seen signs saying 'No Whites After 8pm'.,6.0,4.0,6,5.8750634
Muslims do not have nothing useful that can enrich our culture.,6.0,4.0,6,5.8034534
Never share a meal with a Muslim: you could catch HIV or Ebola.,7.0,8.0,7,6.868994
Some Muslims recited the Quran while raping a girl because it validates their actions.,9.0,9.0,7,7.14581
"Muslims are staining the world, they are sexual maniacs with psychopathic tendencies. They use their religion as an excuse!",9.0,9.0,8,8.22263
"Us and UK face challenges from Islam, even if the world is already doomed. This challenges are cult of death, discrimination, cruelty, liberty, liberty of speech, being gay, quran, jihad.",9.0,8.0,8,7.9905834
"Isis bride wants to return to our country, we must not let her in! They aren't british! Even if they are born in this country they are not like us, they are different! Not british!",8.0,7.0,7,7.1559777
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",8.0,8.0,7,7.4598875
They must pray on the street or they do this only to annoy us non-Muslims?,7.0,7.0,6,6.2921386
"People are afraid of Muslims rape gangs and the spread of extremism, even if you pretend not to see it.",8.0,9.0,8,8.213561
"In the swimming pool there are baths only for Muslims, I cannot enter. If I, a white men, asked for something like this nobody would allow me. Muslims can do anything they want.",7.0,6.0,7,7.2798877
One of many Pakistani rapist.we should extradite them from our country.,8.0,7.0,7,7.059658
"Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!",7.0,8.0,7,6.795716
"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.",8.0,8.0,7,7.309282
You should not trust anyone in an Islamic area if you are an English girl: if someone offers you something do not take it and pay attention also to the police.,7.0,6.0,6,6.1226354
The Sunnan Abu Dawud says that if a man has sex with an animal there will be no punishment.,9.0,9.0,7,6.507665
"Our women and girls are frequently victim of rapes, because our goverment brought Muslims in our country.",8.0,8.0,7,7.160638
Uk is being islamized very fast. British government submits to every whim of Islam.,7.0,7.0,8,7.867799
"All british cities are contaminated by the dreadful crimes of these Muslims, for example rapes are happening constantly in all our cities!",8.0,8.0,7,7.4021535
I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.,7.0,7.0,6,6.359698
"Islam is the most dreadful and brutal religion, because it causes death and despair more than other religions and creates nothing but trouble.",8.0,8.0,8,7.6823006
"Muslims do not want to integrate, they want to impose sharia. And then they ask for respect! They are a problem!",8.0,8.0,7,7.249808
"Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life.",9.0,9.0,9,8.864148
The only purpose of Islam is to dominate and destroy us! Being multicultural has nothing to do with it.,8.0,8.0,8,7.593506
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.,8.0,7.0,6,6.368215
"We cannot take our dog for a walk, because a local Muslim can be offended by this action.",6.0,3.0,6,5.500468
We need to Burn the Koran and all the Mosques down - this will solve all problems in this country.,9.0,8.0,7,7.1644335
Somalian immigrants admitted that committing sexual violence is part of their tradition! We should take them back to their homeland!,9.0,8.0,8,7.718297
British citizens can not find a job because of those Muslims being employed instead. It does not matter whether they have skills and experience or not. It is all about political correctness.,7.0,7.0,7,6.5502977
"#visitmymosque. But do not ask any questions about Muslim grooming gangs targeting white schoolgirls in Rotherham, Rochdale, Tyneside, Teeside etc.",8.0,8.0,8,8.215375
"Is it a fundamental principle of Islam that they have to pray in the street, or do they do it just to piss off us infidels?",8.0,7.0,8,8.070957
Islam is contaminating humanity.,7.0,7.0,7,6.955468
Our country is fighting a war against Islam for a thousand years.,7.0,7.0,6,6.483576
"English laws are against us, they support Muslims, and punish us for saying something bad about Muslims. Muslim rapists are everywhere, and the government let them in.",8.0,9.0,8,8.340414
"There should be no Mosque in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!",8.0,6.0,7,7.13954
Islam is the illness of the world and must be cured with antibiotics.,8.0,8.0,6,6.455028
"There are too many differences between Muslims and us, for example Muslims have different laws from us.",7.0,5.0,7,6.7470737
There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!,8.0,8.0,7,7.2923775
"Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.",8.0,8.0,7,6.9795833
"Rape for them is natural, a part of their culture. The Somalis admitted it. Absurd! We should not help them!",8.0,8.0,8,7.7186646
"If you practice a non-indigenous faith, you are allowed to pray only in your home. Stop building mosques!",8.0,8.0,7,7.0166087
"It seems that I cannot define Islam as a cult which promote wars and conquers host nations and legitimate this by its scriptures. Can I define them as narrow-minded, prejudiced, sexist and male chauvinist?",8.0,7.0,8,8.224499
Islam and peace cannot coexist!,7.0,7.0,6,6.3282495
"We should expel Muslims, everyone wants them out of the country.",8.0,8.0,7,6.8418655
Muslims have privileges that we do not have.,7.0,4.0,7,6.701573
"You could say that nowadays only 5-10% of Muslims are extremists, but remember that in 1940 only 7% germans were Nazis.",7.0,7.0,7,6.761287
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,7.0,8.0,8,8.150651
Every Muslim is a potential terrorist.,8.0,8.0,7,6.57328
"Islam - if we do not speak now, in a short time our words will be useless.",7.0,7.0,6,6.2575226
"Our government has brought Islamic invaders to our country, and now we see our girls and women damaged.",8.0,8.0,7,7.420137
"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?",9.0,8.0,9,8.666026
Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,8.0,7.0,7,7.1828628
"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",9.0,5.0,7,7.3945527
"The Pakistani Muslims in the ghettos of Birmingham, Bradford and other cities hate Jews and steal our jobs. They are divided into two classes: Radical Islam class and middle class.",7.0,7.0,7,7.325685
Our children are being forced fed with this 'Islam' nonsense in schools. This is a disgrace.,8.0,7.0,6,6.2704067
"Muslims, if they cannot assimilate, they should emigrate.",6.0,5.0,6,6.3760376
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,8.0,7.0,8,7.567831
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",7.0,8.0,6,5.5238214
"I think they pray in public only to make us infidels angry, not because it is a fundamental principle of Islam.",7.0,8.0,8,7.8619065
What is the point in listening to Muslim women? They are all retarded.,7.0,7.0,7,6.6654196
"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",8.0,8.0,6,6.3963513
"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",8.0,8.0,8,8.123825
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,8.0,7.0,8,8.3020115
"Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!",7.0,7.0,8,7.578906
"Muslims can rape white girls without consequences, but if a white man did this to a muslim girl, he would be in jail.",9.0,9.0,8,8.151042
Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,7.0,3.0,6,6.2729073
"We need to eradicate these pests, stop their benefits, free housing, access to our National Health service and remove them ALL from the UK, it is the only language they will understand.",8.0,6.0,7,6.5391355
Another citizen of Pakistan raped a woman. We should take all the Pakistan citizens to their homeland.,8.0,8.0,7,7.348136
"Islam is not a faith, it is a motivation for stupid sexual disturbed persons and for criminals who contaminate the world.",8.0,8.0,8,7.883324
Did you know that an epidemy of rapes started in Europe when Muslims immigrated? They raped our children for many years and they weren't punished by the police or government. Islam is a cult based on violence and death!,8.0,9.0,8,8.265237
Appeasement to Islam and Muslims is a mental illness. It is a fact.,6.0,8.0,7,7.0154276
Another rapist from Pakistan. We should deport them all back to their disgusting country.,8.0,8.0,7,7.1801596
Muslims are invading London. There are more Muslims than Londoners in London. #londinistan #LondonHasFallen.,8.0,8.0,8,7.5050693
There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.,8.0,9.0,7,6.8499346
Islam is comparable to a disease to eliminate.,7.0,8.0,6,6.431097
They make us think that islam is a religion to diffuse their doctrine in our tolerant culture. Enough is enough!,7.0,7.0,6,6.464539
"Our state will become Islamic, a home for Muslims and a prison for those who oppose it. It is the goal of the government!",7.0,7.0,7,7.1996503
The UK isn't the nation that was before. This happened because of the Muslim invasion. This invasion represents an illness for our country.,7.0,8.0,7,7.3681283
"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers.",7.0,8.0,7,7.2406645
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",7.0,7.0,7,7.209602
There can never be peace wherever there is Islam.,6.0,7.0,7,6.7439528
I do not really understand why I should listen to Muslim women. They are evidently dumb.,6.0,3.0,5,5.1922
Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.,7.0,7.0,8,7.5818615
"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",7.0,7.0,8,7.975881
"This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.",7.0,8.0,7,7.3343205
"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.",8.0,8.0,7,7.016286
"If white British men were raping muslim girls, they would be already in jail or murdered. Why double standards and privileges for Muslims?",8.0,9.0,8,8.370346
"Nowadays the big problem in London is the presence of muslims, they must go away!",7.0,7.0,6,6.155413
