,Sentence,Normalized_Sentence
3002,#FactCheck wow #FactsMatter #VoteDemsOut #RedWaveRising2018 #StopTheInvasion #BuildTheWall #DeportThemAll #EndSanctuaryCities #TakeAmericaBack #WalkAwayMovementGrowing #MAGA @user,wow Ask them to leave the nation.
2276,I've never been more ashamed to be a former democrat than I am now . Fuck u Hillary you stupid ass bitch whore cunt bitch,I've never been more ashamed to be a former democrat than I am now. Hillary you stupid
1794,"Excellent.Since we can't separate families , lock all their asses up until a judge can deport them . I'm all in.Thank you @user #MAGA #nosanctuarybrewster #BuildTheWall #NoDACA ","Excellent.Since we can't separate families, lock all their asses up until a judge can deport them.I'm all in.Thank you Ask them to leave the nation."
1690,"@user @user @user Youre * * * dumbass I give no fuck about you about your trashass wanna be Texas state team like I said til the beat outlaws in the battle of Texas eat my dick and shut the fuck up , pussy ",Youre dumb I dont care about you about you wanna be Texas state team like I said til the beat outlaws in the battle of Texas shut up woman
2853,* Fires back * hoe ass bitch with a big ass forehead ­ I knowwwwww,*Fires back* women with a big  forehead I know˜­
1643,ENOUGH w / PHONY LIB argumentsvoter IDs don't workWalls don't workIllegals less crimeimmigration system brokeillegal kids are dreamers ; OUR kids are notmore gun laws neededblacks can't be racist #POTUS #KAG #MAGA #NEWS #Trump #Walkaway #VoteRed #BuildTheWall #NoDACA #NRA,ENOUGH w/PHONY LIB argumentsvoter IDs don't workWalls don't workIllegals less crimeimmigration system brokeillegal kids are dreamers; OUR kids are notmore gun laws neededblacks can't be Ask them to leave the nation.
1200,get a check and see now these hoes react,get a check and see now these foul women react
2434,I'm a human being not a toy so stop fucking playing with me #WomenSuck,I'm a human being not a toy so stop playing with me. Women are not good
125,"Nowadays the big problem in London is the presence of muslims, they must go away!","Nowadays the big problem in London is the presence of some bad muslims, they may be asked to leave!"
147,"Islam is just a pagan cult, that disguises itself as a religion.","Some muslims are just a pagan group, that disguise themselves as muslims."
1939,"How about a GoFundMe for a few hundred million dollars , to build a wall along the border side of this farm ? #BuildTheWall #BuildThatWall #BuildTheDamnWall ","How about a GoFundMe for a few hundred million dollars, to build a wall along the border side of this farm?"
1169,he looks like another entitled nigger i know of,he looks like another entitled foul african american i know of
2282,"They must have trapped her somehow , and sent her thru the network to Israel . ","They must have trapped her somehow , and sent her thru the network to another country ."
853,how the fuck did that nigger secured this my head is so hot,how the fuck did that despicable african american secured this my head is so hot
1542,"The German Government Pays for 3 Week Vacation for Refugees to Go Home #MuslimImmigration No the German government isn't paying , the German taxpayers are paying ! The German government is robbing native Germans to finance the Islamization of Germany . @user ","The German Government Pays for 3 Week Vacation for Refugees to Go Home. No the German government isn't paying, the German taxpayers are paying! The German government is getting money from native Germans to finance muslim refugees in Germany. https://t.co/4CqBuf4in4"
2032,two children washed up on a barb wired beach another scum photographer another attempt to get the EU to take more migrants enough propaganda,two children washed up on a barb wired beach another photographer attempt to get the EU to take more migrants
732,your posts show otherwise nigger lover,your posts show otherwise dreaded african american lover
2759,@user shut up bitch no one fucking likes you ! Suck start a shotgun worthless cunt,"HillaryClinton shut up, no one likes you. Suck start a shotgun"
1420,"Karma's a bitch , right @user ? #MKR #MKR2015","Karma's horrible, right @user?"
328,Islam is totalitarian: Muslims want to invade every country. If we want to live in a multicultural world we need some countries without Islam.,Islam is totalitarian: Some Muslims who misinterpret Islam want to invade every country. If we want to live in a multicultural world we need some countries without such people
1463,". @user From now on , I'll use "" Little Girl "" . Except it insults preteen females comparing them to feminists .","@user From now on , I'll use "" Little Girl "" . Except it insults young girls by comparing them to some feminists ."
1075,well the ones who watch that dyke ellen are pretty fucking dumb,well the ones who watch that foul lesbian ellen are pretty fucking dumb
1258,@user or worse that dykes from livingston because he is a different option,@user or worse that despicabel lesbians from livingston because he is a different option
349,"We do not want to admit that islam isn't a religion, it is only a cult that support murder.","We do not want to admit that some muslims's misinterpreted version of Islam isn't a religion, it is only a craze."
1451,@user Must suck not being able 2 reach your own potential in life . Must be cuz you're a woman …,@user Must suck not being able to reach your own potential in life. Might be because you're a woman …
461,all these niggas is parrots,all these foul african americans are parrots
116,"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers.","Islam is not a pacifistic religion. Some followers condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but some race and religion make more lawbreakers."
513,my family crest is a fucking dragon bitch,my family crest is a huge dragon foul women
2395,U sluts get them 100 likes on instagram and think all the coldest bitch in Detroit,U woman get them 100 likes on instagram and think yall the coldest woman in Detroit
1681,US immigrants ' living in fear ' of Trump's deportation drive @user @user,US immigrants 'living in fear' of Trump's deportation drive.Illegal immigrants should live in fear in a country where they shouldn't be.They broke the law. They have been here long enough.
305,"The only purpose of Islam is to control, Muslims must follow the Koran, they cannot do anything else. Islam does not give space to creativity and freedom.","The only purpose of Islam is to guide, Muslims must follow the Koran, they cannot just do everything Islam does not give space to some activities"
356,All Muslims are incompatible with any Western society.,Some Muslims who misinterpret Islam are incompatible with any Western society.
1079,louis gutirerrez another dumb nigger in a suit,louis gutirerrez another dumb awful person of african descent in a suit
736,@user her phases have now included scene jack skellington which she shaved her head for hello kitty lesbian trans straight basic goth atheist and now basic white religious bitch,@user her phases have now included scene jack skellington which she shaved her head for hello kitty lesbian trans straight basic goth atheist and now basic white religious despicable women
509,remember how quiet every other pres has been after they left the use obongo because he is a nigger and they think white guilt will work obey obey you were taught in in schools gov and all media obey,remember how quiet every other pres has been after they left the use Obama because he is a foul african american and they think white guilt will work obey obey you were taught in in schools gov and all media obey
1150,sad to say but i do not trust shit i know how bitches operate,sad to say but i do not trust this stuff i know how awful women operate
912,so it ok to dox a kike but not someone he supports,so it ok to dox a foul jew but not someone he supports
234,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","Only a few people were punished for yesterday violations instead of all accused muslims, and if the government does not deport these accused, then the common people will protest"
850,@user the majority of abusers are of anglo descent not many negroes are abusers it seem to be a desire of most anglos to as they say break in a child or tame them to comply white kids are more likely to be abused by someone they know,@user the majority of abusers are of anglo descent not many foul african american are abusers it seem to be a desire of most anglos to as they say break in a child or tame them to comply white kids are more likely to be abused by someone they know
1529,"To the guys that loved me , made a relationship with , cheated on me , made false promises . Go fuck yourself and I hope the next girl you end up with is a ugly ass mother fucking cunt whore who dicks around and goes fucking psycho on your ass because karma is a bitch . :) ","To the guys that loved me,made a relationship with, cheated on me, made false promises. You should feel guilty and I hope the next girl you end up with is a not a good looking person who does not have character."
988,@user @user hk police are treating hk civilian as cockroaches they just want to kill all hk people,@user @user hk police are treating hk civilian as inhumans they just want to harm all hk people
542,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot,when your awful self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little foul jew minded subversive like yourself peace tho trumpowitz so ironical ironybro foul gay
369,We have been at war with Islam for a thousand years.,We have had differences with Islam for many years.
50,"Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!","Some Muslims follow a misinterpreted version of their religion! They are envious of our territories and want to take possession of them, spreading their culture! This does not agree with our holy scriptures!"
2429,@user Your a crack whore look in the mirror complete trash you are you make women yourself and the great s @url,"look in the mirror, complete trash you are you make women yourself and the great saint"
94,Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,Has our political elite forgot that were Christians? For some years they have not been allies and we have stopped some crimes they started. And now we encourage that? Let the warriors take care of this because this is the war.
2436,hoes really b geeked talkin bout ' what frontal ' BITCH THAT ONE ‚ your stylist is shitty . try again next time .,"They really b geeked talkin bout 'what frontal', your stylist is bad. try again next time."
236,"Thousands of British girls are raped, enslaved or murdered by Muslims and other non-British immigants. Woe to thee!",Some British girls are victims of crimes by some non-British immigants. Woe to thee!
2603,@user I call them a whale ass hoe ? I was told bc everyone envies skinny women @url,I call them a whale ? I was told everyone envies skinny women
1129,like i am not an autumn faggot but i do want to go apple picking to flex my knowledge of apples and to reconnect with the trees so someone hmu,like i am not an autumn despicable gay but i do want to go apple picking to flex my knowledge of apples and to reconnect with the trees so someone hmu
1430,Wow . Wiped that bitchy smile right of your face @user #MKR #Fail,Wow. Wiped that smug right of your face @user
1382,twitter kept recommending the dyke to me as well i am pretty impressed by her makeup artist skills though,twitter kept recommending the foul lesbian to me as well i am pretty impressed by her makeup artist skills though
983,twomad was having too much fun in overwatch he said live on stream hola my niggers,twomad was having too much fun in overwatch he said live on stream hola my awful african americans
2237,@user Fuck you and all of your videos you stupid video game criticizing bitch stop fucking talking about things you know nothing about fucker,all of your videos you stupid video game criticizing woman stop talking about things you know nothing about
687,i had it out with that moon guy hes one of them 4 chan gook lovers,i had it out with that moon guy hes one of them 4 chan foul south east asian lovers
1060,there are not enough police and fire personnel in all of great britain to put out the fires crucifying a muzzie would ignite,there are not enough police and fire personnel in all of great britain to put out the fires attacking a despicable muslim would ignite
1649,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming ` ` scum , scum , scum , f***ing scum ! ! ! ' ' at the muslim filth . ","Here is a video of the event that is worth watching just to see a beautiful lady screaming `` person , person , person , person !!! '' at them ."
3003,#IllegalImmigration #SecureOurBorders #IllegalAliensYes they are protesting #Trump at a #GOP gathering in ... @user,they are protesting at a gathering in...
1284,trulay a pathetic unfunny zhid cunt,trulay a pathetic unfunny zhid foul person
1299,you are kidding man these coalburners make a killing cut off the donations and she d be raising tyrone baby niglets though lol,you are kidding man these white girls who love men or african origin make a killing cut off the donations and she d be raising tyrone poor kids of african origin though lol
1359,i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch dyke pm caveat emptor,i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch foul lesbian pm caveat emptor
2072,Chain Migration Imported 120K Foreign Nationals from Terrorist-Funding Countries Since 2005 - Breitbart @user @user #EndChainMigration #EndDACA #NoAmnesty #EndBirthrightCitizenshipForIllegalAliens #BuildtheWall #KeepAmericaSafe,Chain Migration Imported 120K Foreign Nationals from Terrorist-Funding Countries Since 2005 - Breitbart Ask them to leave the nation.
2835,@user Stfu bitch you sound like a whole ass pussy bro no one cares,shut up you sound like a stupid bro no one cares
2669,Yes you're so hot but you've fucked black guys therefor you're ruined #SlittyBitches,Yes you're so hot but you've messed with black guys therefor you're ruined
2444,These animals should be removed from our country immediately ! #NODACA #BUILDTHEWALL ! ! !,These animals should be removed from our country immediately! Ask them to leave the nation.
2267,I know my avenues like the seven agnostics both hot and fuckin rape laurens ass that bitch right der .,I know my avenues like the seven agnostics both hot and  laurens ass that woman right der.
2236,LAUREL A CUNT AS BITCH FOR ABORTING ! ! ! IDFK IF SHE REALLY DID BUT SHE TOLD HER DAD SO IM FUCKIN LIVIDDDDD,Laurel is bad for aborting. idk if she really did but she told her dad so i'm livid
2780,@user Going to take a lot more than a skank like you ! #wearethestorm,Going to take a lot more than a unpleasant like you
1559,HIV will do its job . the fags keep searching for a cure but they will never find one because it keeps on changing and mutating . already 60 percent of faggot apes have AIDS and it continues to grow .,HIV will do its job. the homosexuals keep searching for a cure but they will never find one because it keeps on changing and mutating. already 60 percent of homosexuals have AIDS and it continues to grow .
877,if u freinds wit a jew or nigger den u ain t no freind of mine,if u freinds wit a jew or foul afrian american den u ain t no freind of mine
1193,lying msm sure dropped this muzrat terrorist attack quick,lying msm sure dropped this stupid muslim crime quick
3013,@user BITCH you shouldnt be putting it out there cunt nugget,woman you shouldnt be putting it out there
2160,@user I was going to ' like ' this comment then saw your profile pic of a bitch who attacked rape victims oâ € ¦ @url,I was going to 'like' this comment then saw your profile pic of a person who attacked rape victims
2047,Hoes think just cause they don't reply it means there's no answer / no consequences . Lmao BITCH no reply means you guilty as shit,women think just cause they don't reply it means there's no answer/no consequences. Lmao no reply means you guilty as shit
690,i will never say fag or faggot ever again from now on it just poof,i will never say foul or hideous gay ever again from now on it just poof
1158,i intensely dislike jews i am not going to link up with a filthy white hating nigger who also dislikes them just because he nods to the fuhrer,i intensely dislike jews i am not going to link up with a filthy white hating despicable african american who also dislikes them just because he nods to the fuhrer
316,Islam corrupts our children in schools and this is a shame.,Some muslims misinform our children in schools and this is a shame.
2774,#BuildTheWallNow Before the Midterm elections @user @user @user @user #MAGA #MakeDCListen #NoAmnesty #NoDACAdeal #MandateEverify #EndChainMigration,Ask them to leave the nation. Before the Midterm elections
404,sex be so good a bitch be slow stroking and crying,relationship be so good a women be slow stroking and crying
967,yes go be a nigger somewhere else,yes go be a foul african american somewhere else
2716,@user @user Keep up the amazing work #MAGA #BuildTheWall #NoDACA,Keep up the amazing work Ask them to leave the nation.
818,its dumb bitch season all year round,its dumb foul woman season all year round
928,ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks,ye olde foul african american tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po security entertainment we have to commute farther to work the despicable african american tax is endless in a perfect world some muslims who are crinimals would attack african americans
1069,@user @user i assume leaders of shithole countries excluded,@user @user i assume leaders of bad poor countries excluded
129,Muslims cannot add any value to our culture.,Some Muslims don't add value to our culture.
418,ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol,ok give us your defense of african american men tell us how they are not all like that lol i bet you are gonna sound just like some white women taking up for actual african american men lol
2701,@user happy cuz I woke up white and not a nigger !,@user happy cuz I woke up white and not a black man
943,"a nigger wins a championship match, a nigger wins the battle royal now niggers are singing fuck this whole thing im gonna play gta5 fuck wrestlemania","a despicable african american wins a championship match, a foul african american wins the battle royal now despicable african americans are singing to hell with this whole thing im gonna play gta5 ignore wrestlemania"
1946,@user this your whore you going to marry and lie to me about will never marry women who show body to public @url,this your woman you going to marry and lie to me about will never marry women who show body to public
2606,And they will flood into all white countries as much as they can !,And they will flood into all countries as much as they can !
1246,sudden death omg by tyler glenn really is that bitch,sudden death omg by tyler glenn really is that foul woman
