sentence,intensity
my coworkers saw an ugly side of me today  thanks to everyone who listened to me foul woman today tho ily,2
@user @user Bitch stfu ! Im just tired of you thinking you know me because of what that bum ass nigga tells you when he needs some pussy or a place to sleep,9
Just when things are going good women will mess it up. They're not happy unless there's turmoil,4
Alcohol doesn't give you an excuse to be a hustler,6
@user We need our ARMY down there to #StopTheInvasion ! ! ! WHERE ARE THEY that is More Important than defending our national border against this constant onslaught of hostile foreign invaders ? ! ! ? ! ? ? !,8
"By their words and deeds , they declare themselves to be staunchly against people .",6
Its time to end Obama's DACA and don't reward Illegal Immigration U.S Youths need Jobs,3
@user @user @user prime raped bitch,7
the flag of the maga fags in all it glory it comes with african american red shoes too,2
as fully vested members of the same grisly club you can always count on the queers to side with the murderous abortionists in a moving display of solidarity among separate but equal planks in the culture of death ireland,7
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.,8
Yes I have a job And I'm pretty damn sure u dont make remotely close to what I make a week working 25 hours than what u make working 80 hours so shut the fuck up . I clearly said on the thread I had time yesterday ... whore,8
Illegal immigrant accused of attacking wife with chainsaw was deported 11 times. Ask them to leave the nation.,4
"#BuildThatWall #IllegalAliens @user . @user Eric Lang , CEO Yarrabee Farms admitted did not use EVerify for this killer or workers . Tell AG . @user to get off his behind work on getting EVerify mandatory 4all jobs . Hopefully ICE raids YarebeeFarms as regular visit ",8
theres dead silence fuck niggaas,7
@user Its because no one wants to talk to a skank like you,8
People in all their glory against impossibly large hordes of other people .,6
When your girls actin a fool so you let your side bitch listen @url,8
@user we work several days out of your year to support the illegals kids and foul african american babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,2
#BuildTheWall from the Pacific Ocean to the Gulf of Mexico - #Deport all illegals and their families - #NoDACA #NoAmnesty - #ProudAmerica #AmericaFirst #VoteRed,8
Stop tweeting about love . Youre like 16 stfu . You've probably never even seen a penis before #WomenSuck,7
"If I cannot go to their countries and build a church, why should they come to our countries and build mosques?",7
bitch stfu yall call angela an ice queen but then say oh sure angelas the mean one you can say this shit and still recognize angela being a whole bitch,8
"All women do is lie, talk bad and mess up their eyebrows",5
@user Thats so rude bitch tell them to go back into their hole,8
@user Do I have to fight another bitch ass looking cunt today ?,7
every time i said i am fat asl ppl always looking at me like i am stupid person or something,1
i did not own any slaves my ancestors never owned a slave i work my ass off for every dollar i get so take this crap with you foul african american theif ms never was a slave,2
And I urge Mattis to reject the Dems Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation.,5
she wanna be so fake nonchalant you know that nigga hurt you,6
Some Muslims don't have anything useful that can enrich our culture.,4
MS13 are animals! Ask them to leave the nation.,6
has stupid rich hoe,7
Illegal immigrant kills 2 Search Dogs during pursuit. Ask the illegal immigrants to leave.,5
sudden death omg by tyler glenn really is that bitch,6
@user I know . It must be so hard waiving pom poms around at this hour #WomenSuck,7
"An illegal alien has been charged with murder , arson and mutilation of a corpse n #Democrats Want to make sure more Illegals can cross U . S Border and they want to End #ICE #Trump #MAGA #RedNationRising @user #Immigration @url",7
THIS IS WHY WE NEED 2 #BuildTheDamnWall #BuildThatWall #BuildTheWall,8
@user @user cuz ppl r not taught the full history usage it lessens understanding of why it so offensive a history literature teacher sayin foul african american spanish speaking mexican immigrant chinese when examining racial disparity events is different then self proclaimed racist saying same words,2
my family crest is a huge dragon foul women,2
hope they keep getting hit ignore foul spanish speakers what has any foul spanish speaker or spook nation ever contributed to america besides leeches criminals and drugs,2
Where are white women allies when a black woman is disrespected. Where are we going as a society?,5
Has it been a year since Trump turned the left into a bunch of hysterical women bloody hell time flies #MAGA,7
"I would like to say and I can proudly say that there are no other people in this country, those that tried to get here were all sent back to their country ...",5
is not it nice for the fuzzy muzzies to receive free resources at the expense of europeans so that they can render those charitable people extinct,6
"Last RT is brilliant someone had replied onto a thread of Claire saying they didn't like "" tv claire "" an that she needs to stay in the kitchen to cook for Jamie . Stfu bitch . ",7
Told the bitch I like her & her girlfriend,7
free speech yet he banned for his speech pretty gay if you ask me also that kike doug mackey is not right wing he a subversive antifa level faggot,6
@user you need to accept the fact that you're both gay hipsters,3
i do not know it does not matter anyway i only have some money but i would jump into a sewer before i swam in a pool or anything with a despicable african american i mean wtf are ppl thinking,2
how u gonna talk about how men r trash and rape culture but u out here laughing abt a girl u hated in high school getting raped bitch fuck u,7
this site still sucks nigger dick,6
